run_accession	total_bases	total_spots	isolate	collection_date	geo_loc_name	host	biosample	library_strategy	library_selection	platform	instrument	bioproject	host_category
SRR31821207	327191723	1127392	24-036405-001	2024	USA	CATTLE	SAMN45953261	WGS	RANDOM	ILLUMINA	NextSeq 2000	PRJNA1102327	cattle
SRR31821208	17616805	60907	24-036403-004	2024	USA	CATTLE	SAMN45953260	WGS	RANDOM	ILLUMINA	NextSeq 2000	PRJNA1102327	cattle
SRR31821209	430170699	1478778	24-036403-003	2024	USA	CATTLE	SAMN45953259	WGS	RANDOM	ILLUMINA	NextSeq 2000	PRJNA1102327	cattle
SRR31821210	287337715	977552	24-036403-002	2024	USA	CATTLE	SAMN45953258	WGS	RANDOM	ILLUMINA	NextSeq 2000	PRJNA1102327	cattle
SRR31821211	223595207	755514	24-036403-001	2024	USA	CATTLE	SAMN45953257	WGS	RANDOM	ILLUMINA	NextSeq 2000	PRJNA1102327	cattle
SRR31821212	136254009	458954	24-036402-001	2024	USA	CATTLE	SAMN45953256	WGS	RANDOM	ILLUMINA	NextSeq 2000	PRJNA1102327	cattle
SRR31821213	250693220	848206	24-036401-002	2024	USA	CATTLE	SAMN45953255	WGS	RANDOM	ILLUMINA	NextSeq 2000	PRJNA1102327	cattle
SRR31821214	267171418	907731	24-036349-001	2024	USA	CATTLE	SAMN45953183	WGS	RANDOM	ILLUMINA	NextSeq 2000	PRJNA1102327	cattle
SRR31821215	200693163	676714	24-036400-001	2024	USA	CATTLE	SAMN45953254	WGS	RANDOM	ILLUMINA	NextSeq 2000	PRJNA1102327	cattle
SRR31821216	189465397	639625	24-036399-001	2024	USA	CATTLE	SAMN45953253	WGS	RANDOM	ILLUMINA	NextSeq 2000	PRJNA1102327	cattle
SRR31821217	220280818	744409	24-036398-002	2024	USA	CATTLE	SAMN45953252	WGS	RANDOM	ILLUMINA	NextSeq 2000	PRJNA1102327	cattle
SRR31821218	71710064	241475	24-036398-001	2024	USA	CATTLE	SAMN45953251	WGS	RANDOM	ILLUMINA	NextSeq 2000	PRJNA1102327	cattle
SRR31821219	341578000	1164408	24-036397-002	2024	USA	CATTLE	SAMN45953250	WGS	RANDOM	ILLUMINA	NextSeq 2000	PRJNA1102327	cattle
SRR31821220	369647823	1259955	24-036397-001	2024	USA	CATTLE	SAMN45953249	WGS	RANDOM	ILLUMINA	NextSeq 2000	PRJNA1102327	cattle
SRR31821221	134478805	462636	24-037225-037	2024	USA	CATTLE	SAMN45953589	WGS	RANDOM	ILLUMINA	NextSeq 2000	PRJNA1102327	cattle
SRR31821222	127975123	437755	24-037225-036	2024	USA	CATTLE	SAMN45953588	WGS	RANDOM	ILLUMINA	NextSeq 2000	PRJNA1102327	cattle
SRR31821223	115747496	395737	24-037225-035	2024	USA	CATTLE	SAMN45953587	WGS	RANDOM	ILLUMINA	NextSeq 2000	PRJNA1102327	cattle
SRR31821224	59312616	200272	24-037225-034	2024	USA	CATTLE	SAMN45953586	WGS	RANDOM	ILLUMINA	NextSeq 2000	PRJNA1102327	cattle
SRR31821225	52612418	177553	24-037225-033	2024	USA	CATTLE	SAMN45953585	WGS	RANDOM	ILLUMINA	NextSeq 2000	PRJNA1102327	cattle
SRR31821226	181535783	614548	24-036371-001	2024	USA	CATTLE	SAMN45953216	WGS	RANDOM	ILLUMINA	NextSeq 2000	PRJNA1102327	cattle
SRR31821227	92278124	311277	24-037225-032	2024	USA	CATTLE	SAMN45953584	WGS	RANDOM	ILLUMINA	NextSeq 2000	PRJNA1102327	cattle
